input,time
100,8.400001206609886e-07
1000,4.3999998524668624e-07
10000,7.599997843499295e-07
100000,1.0200000360782723e-06
250000,1.0800000382005238e-06
500000,1.0999999176419805e-06
1000000,9.60000033956021e-07
